1,6
3,1
5,1
5,4
5,5
6,1
6,4
6,5
7,1
7,4
7,5
8,4
10,1
12,1
17,1
21,1
22,1
24,1
24,3
24,4
24,5
91,1
92,1
1,6
3,1
5,1
5,4
5,5
6,1
6,4
6,5
7,1
7,4
7,5
8,4
10,1
12,1
17,1
21,1
22,1
24,1
24,3
24,4
24,5
91,1
92,1
1,6
3,1
5,1
5,4
5,5
6,1
6,4
6,5
7,1
7,4
7,5
8,4
10,1
12,1
17,1
21,1
22,1
24,1
24,3
24,4
24,5
91,1
92,1
1,6
3,1
5,1
5,4
5,5
6,1
6,4
6,5
7,1
7,4
7,5
8,4
10,1
12,1
17,1
21,1
22,1
24,1
24,3
24,4
24,5
91,1
92,1
1,6
3,1
5,1
5,4
5,5
6,1
6,4
6,5
7,1
7,4
7,5
8,4
10,1
12,1
17,1
21,1
22,1
24,1
24,3
24,4
24,5
91,1
92,1
